state,year,year_num (2019 = FY2019-20),fiscal_deficit (% of GSDP),fiscal_deficit_amount (Rupees crore),debt (% of GSDP),debt_amount (Rupees crore),own_tax_revenue (% of GSDP),own_tax_revenue_amount (Rupees crore),capex_derived (% of GSDP),capex_derived_amount (Rupees crore),revenue_deficit (% of GSDP),revenue_deficit_amount (Rupees crore),fdi (Rupees crore),gsdp (Rupees crore),gsdp_growth (% per year),"log_fdi (natural log, unitless)","log_gsdp (natural log, unitless)","covid_dummy (1 = FY2020-21, else 0)","post_covid_dummy (1 = FY2021-22 onwards, else 0)","literacy (%, Census 2011)","urbanization (%, Census 2011)",discipline_rank_in_year (1 = most disciplined that year)
Maharashtra,FY2019-20,2019,2.4,63763,18.3,486195,7.2,191290,1.7,45166,0.7,18598,52073,2656806,5.06,10.8604,14.7926,0,0,82.3,45.2,2
Maharashtra,FY2020-21,2020,1.9,49602,20.7,540405,6.3,164471,0.8,20885,1.1,28717,119734,2610651,-1.74,11.693,14.7751,1,0,82.3,45.2,3
Maharashtra,FY2021-22,2021,1.6,50301,18.6,584751,7.1,223211,1.5,47157,0.1,3144,114964,3143821,20.42,11.6524,14.9609,0,1,82.3,45.2,1
Maharashtra,FY2022-23,2022,1.9,69189,17.6,640912,7.7,280399,1.8,65548,0.1,3642,118422,3641543,15.83,11.682,15.1079,0,1,82.3,45.2,3
Maharashtra,FY2023-24,2023,2.2,89229,18,730052,7.4,300133,1.9,77061,0.3,12168,125101,4055847,11.38,11.7369,15.2157,0,1,82.3,45.2,2
Karnataka,FY2019-20,2019,2.4,38779,19.8,319928,6.3,101795,2.5,40395,-0.1,-1616,30746,1615800,9.22,10.3335,14.2953,0,0,75.4,38.6,3
Karnataka,FY2020-21,2020,3.3,54170,23.5,385752,5.9,96848,2.9,47604,0.4,6566,56884,1641500,1.59,10.9488,14.3111,1,0,75.4,38.6,2
Karnataka,FY2021-22,2021,2.4,47474,22.3,441116,6.1,120664,2.6,51431,-0.2,-3956,163795,1978100,20.51,12.0064,14.4976,0,1,75.4,38.6,4
Karnataka,FY2022-23,2022,2,45400,21.8,494860,6.2,140740,2.6,59020,-0.6,-13620,83628,2270000,14.76,11.3341,14.6353,0,1,75.4,38.6,6
Karnataka,FY2023-24,2023,2.5,63931,22.6,577936,6.3,161106,2.1,53702,0.4,10229,54427,2557241,12.65,10.9046,14.7544,0,1,75.4,38.6,6
Gujarat,FY2019-20,2019,1.8,29108,22.9,370316,5.7,92175,1.9,30725,-0.1,-1617,18964,1617100,8.37,9.8503,14.2961,0,0,78,42.6,5
Gujarat,FY2020-21,2020,2.3,37170,25.8,416954,5.2,84037,1.3,21009,1,16161,162830,1616100,-0.06,12.0005,14.2955,1,0,78,42.6,5
Gujarat,FY2021-22,2021,0.6,11525,22,422598,6,115254,1.8,34576,-1.2,-23051,20169,1920900,18.86,9.9119,14.4683,0,1,78,42.6,5
Gujarat,FY2022-23,2022,0.9,19831,21.4,471528,6.8,149831,2,44068,-1.1,-24237,37059,2203400,14.71,10.5203,14.6055,0,1,78,42.6,1
Gujarat,FY2023-24,2023,1.2,29110,20.6,499716,6.7,162529,2.9,70348,-1.7,-41239,60600,2425804,10.09,11.0121,14.7017,0,1,78,42.6,1
Tamil Nadu,FY2019-20,2019,3.5,61008,24.7,430546,6.3,109815,1.4,24403,2.1,36605,7230,1743100,6.93,8.886,14.3712,0,0,80.1,48.4,7
Tamil Nadu,FY2020-21,2020,5.3,94769,31,554311,6.4,114438,1.9,33974,3.4,60795,17208,1788100,2.58,9.7531,14.3967,1,0,80.1,48.4,6
Tamil Nadu,FY2021-22,2021,3.7,76682,30.1,623822,6.2,128495,1.8,37305,1.9,39378,22396,2072500,15.91,10.0166,14.5443,0,1,80.1,48.4,8
Tamil Nadu,FY2022-23,2022,3.6,86162,29.5,706053,6.6,157964,2,47868,1.6,38294,17247,2393400,15.48,9.7554,14.6882,0,1,80.1,48.4,7
Tamil Nadu,FY2023-24,2023,3.6,96803,29.9,804000,6.6,177472,1.8,48401,1.8,48401,20157,2688963,12.35,9.9113,14.8047,0,1,80.1,48.4,8
Haryana,FY2019-20,2019,4.2,31000,29.7,219216,5.9,43548,1.9,14024,2.3,16976,5198,738100,5.61,8.556,13.5118,0,0,75.6,34.9,8
Haryana,FY2020-21,2020,3.5,25518,33.5,244248,5.9,43017,1,7291,2.5,18228,12559,729100,-1.22,9.4382,13.4996,1,0,75.6,34.9,8
Haryana,FY2021-22,2021,2.8,24329,30.7,266752,6.2,53872,1.3,11296,1.5,13034,20971,868900,19.17,9.9509,13.675,0,1,75.6,34.9,9
Haryana,FY2022-23,2022,3.3,32475,30.8,303103,6.6,64951,1.5,14762,1.8,17714,20735,984100,13.26,9.9396,13.7995,0,1,75.6,34.9,8
Haryana,FY2023-24,2023,2.9,31480,30.5,331081,6.8,73815,1.8,19539,1.1,11941,15797,1085510,10.3,9.6676,13.8976,0,1,75.6,34.9,7
Telangana,FY2019-20,2019,3.4,32303,25,237525,7.2,68407,2.7,25653,0.7,6651,4865,950100,10.81,8.4898,13.7643,0,0,66.5,38.9,4
Telangana,FY2020-21,2020,5,47155,29.9,281987,7.2,67903,2.9,27350,2.1,19805,8618,943100,-0.74,9.0616,13.7569,1,0,66.5,38.9,4
Telangana,FY2021-22,2021,3.8,42716,28.3,318120,8.2,92176,3.4,38219,0.4,4496,11964,1124100,19.19,9.3897,13.9325,0,1,66.5,38.9,3
Telangana,FY2022-23,2022,2.5,32795,27,354186,8.2,107568,3,39354,-0.5,-6559,10319,1311800,16.7,9.2417,14.0869,0,1,66.5,38.9,2
Telangana,FY2023-24,2023,3.4,49702,27.3,399081,7.7,112561,3.5,51164,-0.1,-1462,25094,1461836,11.44,10.1304,14.1952,0,1,66.5,38.9,4
Jharkhand,FY2019-20,2019,2.6,8068,30.4,94331,5.4,16756,3.2,9930,-0.6,-1862,13208,310300,1.5,9.4886,12.6453,0,0,66.4,24.1,6
Jharkhand,FY2020-21,2020,4.5,13352,36.2,107405,5.7,16912,4,11868,0.5,1484,5993,296700,-4.38,8.6983,12.6005,1,0,66.4,24.1,7
Jharkhand,FY2021-22,2021,0,0,29.1,109445,5.7,21438,2.5,9402,-2.5,-9402,48,376100,26.76,3.8712,12.8376,0,1,66.4,24.1,6
Jharkhand,FY2022-23,2022,1.1,4591,27.6,115202,6.1,25461,4.4,18366,-3.3,-13774,44,417400,10.98,3.7842,12.9418,0,1,66.4,24.1,5
Jharkhand,FY2023-24,2023,1.4,6519,26.5,123394,6,27938,3.8,17694,-2.4,-11175,90,465638,11.56,4.4998,13.0512,0,1,66.4,24.1,5
Rajasthan,FY2019-20,2019,3.8,38000,35.8,358000,6,60000,0.1,1000,3.7,37000,1347,1000000,9.71,7.2056,13.8155,0,0,66.1,24.9,9
Rajasthan,FY2020-21,2020,5.4,54967,40.2,409196,6,61074,1.5,15268,3.9,39698,2015,1017900,1.79,7.6084,13.8333,1,0,66.1,24.9,9
Rajasthan,FY2021-22,2021,3.5,41825,38.2,456490,6.3,75285,1.9,22705,1.6,19120,5277,1195000,17.4,8.5711,13.9937,0,1,66.1,24.9,7
Rajasthan,FY2022-23,2022,3.7,50242,35.9,487486,6.3,85548,1.4,19011,2.3,31232,7218,1357900,13.63,8.8843,14.1214,0,1,66.1,24.9,9
Rajasthan,FY2023-24,2023,4.4,66946,37.9,576652,6.4,97377,1.8,27387,2.6,39559,2195,1521510,12.05,7.6939,14.2352,0,1,66.1,24.9,9
West Bengal,FY2019-20,2019,3.2,37731,37.1,437446,5.2,61313,1.5,17686,1.7,20045,1363,1179100,6.99,7.2174,13.9803,0,0,76.3,31.9,10
West Bengal,FY2020-21,2020,3.5,39963,42.5,485265,5.3,60515,1.3,14843,2.2,25120,3115,1141800,-3.16,8.044,13.9481,1,0,76.3,31.9,10
West Bengal,FY2021-22,2021,3.3,43864,39.4,523705,5.3,70448,1.4,18609,1.9,25255,3195,1329200,16.41,8.0693,14.1001,0,1,76.3,31.9,10
West Bengal,FY2022-23,2022,3.3,50549,38.2,585148,5.6,85781,1.5,22977,1.8,27572,3217,1531800,15.24,8.0762,14.242,0,1,76.3,31.9,10
West Bengal,FY2023-24,2023,3.3,54495,38.3,632476,5.4,89174,1.7,28073,1.6,26422,1501,1651374,7.81,7.3139,14.3171,0,1,76.3,31.9,10
Uttar Pradesh,FY2019-20,2019,-0.7,-11901,29.6,503230,7.2,122407,3.3,56103,-4,-68004,,1700100,7.45,,14.3462,0,0,67.7,22.3,1
Uttar Pradesh,FY2020-21,2020,3,49347,34,559266,7.3,120078,3.2,52637,-0.2,-3290,,1644900,-3.25,,14.3132,1,0,67.7,22.3,1
Uttar Pradesh,FY2021-22,2021,1.6,31610,31.1,614412,7.7,152121,3.8,75073,-2.2,-43463,1619,1975600,20.1,7.3896,14.4964,0,1,67.7,22.3,2
Uttar Pradesh,FY2022-23,2022,2.9,65482,29.5,666110,7.9,178382,4.6,103868,-1.7,-38386,3373,2258000,14.29,8.1236,14.63,0,1,67.7,22.3,4
Uttar Pradesh,FY2023-24,2023,3.2,84572,29.7,784934,7.6,200859,4.6,121572,-1.4,-37000,2762,2642877,17.05,7.9237,14.7874,0,1,67.7,22.3,3
