State,FY2019-20 (Oct-Mar),FY2020-21,FY2021-22,FY2022-23,FY2023-24,Cumulative Oct2019-Mar2024
Maharashtra,52073,119734,114964,118422,125101,532428.74
Karnataka,30746,56884,163795,83628,54427,389483.39
Gujarat,18964,162830,20169,37059,60600,299624.37
Tamil Nadu,7230,17208,22396,17247,20157,84243.09
Haryana,5198,12559,20971,20735,15797,75269.59
Telangana,4865,8618,11964,10319,25094,60860.43
Jharkhand,13208,5993,48,44,90,19382.14
Rajasthan,1347,2015,5277,7218,2195,18052.36
West Bengal,1363,3115,3195,3217,1501,12398.46
Uttar Pradesh,NA (combined with FY2020-21; see note),NA (combined with FY2019-20; see note),1619,3373,2762,12615.44
