State,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Gujarat,1492200,1617100,1616100,1920900,2203400,2425804
Haryana,698900,738100,729100,868900,984100,1085510
Jharkhand,305700,310300,296700,376100,417400,465638
Karnataka,1479400,1615800,1641500,1978100,2270000,2557241
Maharashtra,2528854,2656806,2610651,3143821,3641543,4055847
Rajasthan,911500,1000000,1017900,1195000,1357900,1521510
Tamil Nadu,1630200,1743100,1788100,2072500,2393400,2688963
Telangana,857400,950100,943100,1124100,1311800,1461836
Uttar Pradesh,1582200,1700100,1644900,1975600,2258000,2642877
West Bengal,1102100,1179100,1141800,1329200,1531800,1651374
