State,FY2019-20,FY2020-21,FY2021-22,FY2022-23,FY2023-24,5yr_Average,Source
Maharashtra,2.4,1.9,1.6,1.9,2.2,2.0,FC-16 Report Vol II Annexure 5.1 (States' Finance Accounts - AUDITED ACTUALS)
Karnataka,2.4,3.3,2.4,2.0,2.5,2.52,FC-16 Report Vol II Annexure 5.1 (States' Finance Accounts - AUDITED ACTUALS)
Gujarat,1.8,2.3,0.6,0.9,1.2,1.36,FC-16 Report Vol II Annexure 5.1 (States' Finance Accounts - AUDITED ACTUALS)
Tamil Nadu,3.5,5.3,3.7,3.6,3.6,3.94,FC-16 Report Vol II Annexure 5.1 (States' Finance Accounts - AUDITED ACTUALS)
Haryana,4.2,3.5,2.8,3.3,2.9,3.34,FC-16 Report Vol II Annexure 5.1 (States' Finance Accounts - AUDITED ACTUALS)
Telangana,3.4,5.0,3.8,2.5,3.4,3.62,FC-16 Report Vol II Annexure 5.1 (States' Finance Accounts - AUDITED ACTUALS)
Jharkhand,2.6,4.5,0.0,1.1,1.4,1.92,FC-16 Report Vol II Annexure 5.1 (States' Finance Accounts - AUDITED ACTUALS)
Rajasthan,3.8,5.4,3.5,3.7,4.4,4.16,FC-16 Report Vol II Annexure 5.1 (States' Finance Accounts - AUDITED ACTUALS)
West Bengal,3.2,3.5,3.3,3.3,3.3,3.32,FC-16 Report Vol II Annexure 5.1 (States' Finance Accounts - AUDITED ACTUALS)
Uttar Pradesh,-0.7,3.0,1.6,2.9,3.2,2.0,FC-16 Report Vol II Annexure 5.1 (States' Finance Accounts - AUDITED ACTUALS)
