State,FY2019-20,FY2020-21,FY2021-22,FY2022-23,FY2023-24,5yr_Average,Source
Maharashtra,18.3,20.7,18.6,17.6,18.0,18.64,FC-16 Report Vol II Annexure 5.3 (States' Finance Accounts - AUDITED ACTUALS)
Karnataka,19.8,23.5,22.3,21.8,22.6,22.0,FC-16 Report Vol II Annexure 5.3 (States' Finance Accounts - AUDITED ACTUALS)
Gujarat,22.9,25.8,22.0,21.4,20.6,22.54,FC-16 Report Vol II Annexure 5.3 (States' Finance Accounts - AUDITED ACTUALS)
Tamil Nadu,24.7,31.0,30.1,29.5,29.9,29.04,FC-16 Report Vol II Annexure 5.3 (States' Finance Accounts - AUDITED ACTUALS)
Haryana,29.7,33.5,30.7,30.8,30.5,31.04,FC-16 Report Vol II Annexure 5.3 (States' Finance Accounts - AUDITED ACTUALS)
Telangana,25.0,29.9,28.3,27.0,27.3,27.5,FC-16 Report Vol II Annexure 5.3 (States' Finance Accounts - AUDITED ACTUALS)
Jharkhand,30.4,36.2,29.1,27.6,26.5,29.96,FC-16 Report Vol II Annexure 5.3 (States' Finance Accounts - AUDITED ACTUALS)
Rajasthan,35.8,40.2,38.2,35.9,37.9,37.6,FC-16 Report Vol II Annexure 5.3 (States' Finance Accounts - AUDITED ACTUALS)
West Bengal,37.1,42.5,39.4,38.2,38.3,39.1,FC-16 Report Vol II Annexure 5.3 (States' Finance Accounts - AUDITED ACTUALS)
Uttar Pradesh,29.6,34.0,31.1,29.5,29.7,30.78,FC-16 Report Vol II Annexure 5.3 (States' Finance Accounts - AUDITED ACTUALS)
