State,FY2019-20,FY2020-21,FY2021-22,FY2022-23,FY2023-24,5yr_Average,Source
Maharashtra,7.2,6.3,7.1,7.7,7.4,7.14,FC-16 Report Vol II Annexure 5.5 (States' Finance Accounts - AUDITED ACTUALS)
Karnataka,6.3,5.9,6.1,6.2,6.3,6.16,FC-16 Report Vol II Annexure 5.5 (States' Finance Accounts - AUDITED ACTUALS)
Gujarat,5.7,5.2,6.0,6.8,6.7,6.08,FC-16 Report Vol II Annexure 5.5 (States' Finance Accounts - AUDITED ACTUALS)
Tamil Nadu,6.3,6.4,6.2,6.6,6.6,6.42,FC-16 Report Vol II Annexure 5.5 (States' Finance Accounts - AUDITED ACTUALS)
Haryana,5.9,5.9,6.2,6.6,6.8,6.28,FC-16 Report Vol II Annexure 5.5 (States' Finance Accounts - AUDITED ACTUALS)
Telangana,7.2,7.2,8.2,8.2,7.7,7.7,FC-16 Report Vol II Annexure 5.5 (States' Finance Accounts - AUDITED ACTUALS)
Jharkhand,5.4,5.7,5.7,6.1,6.0,5.78,FC-16 Report Vol II Annexure 5.5 (States' Finance Accounts - AUDITED ACTUALS)
Rajasthan,6.0,6.0,6.3,6.3,6.4,6.2,FC-16 Report Vol II Annexure 5.5 (States' Finance Accounts - AUDITED ACTUALS)
West Bengal,5.2,5.3,5.3,5.6,5.4,5.36,FC-16 Report Vol II Annexure 5.5 (States' Finance Accounts - AUDITED ACTUALS)
Uttar Pradesh,7.2,7.3,7.7,7.9,7.6,7.54,FC-16 Report Vol II Annexure 5.5 (States' Finance Accounts - AUDITED ACTUALS)
