State,FY2019-20,FY2020-21,FY2021-22,FY2022-23,FY2023-24,5yr_Average,CrossCheck_CapOutlay_FY2022-23_A,CrossCheck_CapOutlay_FY2023-24_RE,Method_Note
Maharashtra,1.7,0.8,1.5,1.8,1.9,1.54,1.69,2.12,Derived: GFD minus RD (FC-16 Annex 5.1 - 5.2); includes net lending. Cross-check cols = exact capital outlay from state budget docs (Forum for State Studies)
Karnataka,2.5,2.9,2.6,2.6,2.1,2.54,2.63,2.0,Derived: GFD minus RD (FC-16 Annex 5.1 - 5.2); includes net lending. Cross-check cols = exact capital outlay from state budget docs (Forum for State Studies)
Gujarat,1.9,1.3,1.8,2.0,2.9,1.98,1.59,2.38,Derived: GFD minus RD (FC-16 Annex 5.1 - 5.2); includes net lending. Cross-check cols = exact capital outlay from state budget docs (Forum for State Studies)
Tamil Nadu,1.4,1.9,1.8,2.0,1.8,1.78,1.67,1.56,Derived: GFD minus RD (FC-16 Annex 5.1 - 5.2); includes net lending. Cross-check cols = exact capital outlay from state budget docs (Forum for State Studies)
Haryana,1.9,1.0,1.3,1.5,1.8,1.5,1.19,1.32,Derived: GFD minus RD (FC-16 Annex 5.1 - 5.2); includes net lending. Cross-check cols = exact capital outlay from state budget docs (Forum for State Studies)
Telangana,2.7,2.9,3.4,3.0,3.5,3.1,1.37,3.02,Derived: GFD minus RD (FC-16 Annex 5.1 - 5.2); includes net lending. Cross-check cols = exact capital outlay from state budget docs (Forum for State Studies)
Jharkhand,3.2,4.0,2.5,4.4,3.8,3.58,3.56,5.06,Derived: GFD minus RD (FC-16 Annex 5.1 - 5.2); includes net lending. Cross-check cols = exact capital outlay from state budget docs (Forum for State Studies)
Rajasthan,0.1,1.5,1.9,1.4,1.8,1.34,1.46,2.28,Derived: GFD minus RD (FC-16 Annex 5.1 - 5.2); includes net lending. Cross-check cols = exact capital outlay from state budget docs (Forum for State Studies)
West Bengal,1.5,1.3,1.4,1.5,1.7,1.48,1.44,1.8,Derived: GFD minus RD (FC-16 Annex 5.1 - 5.2); includes net lending. Cross-check cols = exact capital outlay from state budget docs (Forum for State Studies)
Uttar Pradesh,3.3,3.2,3.8,4.6,4.6,3.9,4.12,6.19,Derived: GFD minus RD (FC-16 Annex 5.1 - 5.2); includes net lending. Cross-check cols = exact capital outlay from state budget docs (Forum for State Studies)
