State,FY2019-20,FY2020-21,FY2021-22,FY2022-23,FY2023-24,5yr_Average,Source
Maharashtra,0.7,1.1,0.1,0.1,0.3,0.46,FC-16 Report Vol II Annexure 5.2 (negative = revenue surplus)
Karnataka,-0.1,0.4,-0.2,-0.6,0.4,-0.02,FC-16 Report Vol II Annexure 5.2 (negative = revenue surplus)
Gujarat,-0.1,1.0,-1.2,-1.1,-1.7,-0.62,FC-16 Report Vol II Annexure 5.2 (negative = revenue surplus)
Tamil Nadu,2.1,3.4,1.9,1.6,1.8,2.16,FC-16 Report Vol II Annexure 5.2 (negative = revenue surplus)
Haryana,2.3,2.5,1.5,1.8,1.1,1.84,FC-16 Report Vol II Annexure 5.2 (negative = revenue surplus)
Telangana,0.7,2.1,0.4,-0.5,-0.1,0.52,FC-16 Report Vol II Annexure 5.2 (negative = revenue surplus)
Jharkhand,-0.6,0.5,-2.5,-3.3,-2.4,-1.66,FC-16 Report Vol II Annexure 5.2 (negative = revenue surplus)
Rajasthan,3.7,3.9,1.6,2.3,2.6,2.82,FC-16 Report Vol II Annexure 5.2 (negative = revenue surplus)
West Bengal,1.7,2.2,1.9,1.8,1.6,1.84,FC-16 Report Vol II Annexure 5.2 (negative = revenue surplus)
Uttar Pradesh,-4.0,-0.2,-2.2,-1.7,-1.4,-1.9,FC-16 Report Vol II Annexure 5.2 (negative = revenue surplus)
