state,year,gfd_pct_gsdp,debt_pct_gsdp,otr_pct_gsdp,capex_pct_gsdp_derived,rev_deficit_pct_gsdp,fdi_inr_crore,gsdp_inr_crore,log_fdi,log_gsdp,covid_dummy
Maharashtra,FY2019-20,2.4,18.3,7.2,1.7,0.7,52073,2656806,10.8604,14.7926,0
Maharashtra,FY2020-21,1.9,20.7,6.3,0.8,1.1,119734,2610651,11.693,14.7751,1
Maharashtra,FY2021-22,1.6,18.6,7.1,1.5,0.1,114964,3143821,11.6524,14.9609,0
Maharashtra,FY2022-23,1.9,17.6,7.7,1.8,0.1,118422,3641543,11.682,15.1079,0
Maharashtra,FY2023-24,2.2,18.0,7.4,1.9,0.3,125101,4055847,11.7369,15.2157,0
Karnataka,FY2019-20,2.4,19.8,6.3,2.5,-0.1,30746,1615800,10.3335,14.2953,0
Karnataka,FY2020-21,3.3,23.5,5.9,2.9,0.4,56884,1641500,10.9488,14.3111,1
Karnataka,FY2021-22,2.4,22.3,6.1,2.6,-0.2,163795,1978100,12.0064,14.4976,0
Karnataka,FY2022-23,2.0,21.8,6.2,2.6,-0.6,83628,2270000,11.3341,14.6353,0
Karnataka,FY2023-24,2.5,22.6,6.3,2.1,0.4,54427,2557241,10.9046,14.7544,0
Gujarat,FY2019-20,1.8,22.9,5.7,1.9,-0.1,18964,1617100,9.8503,14.2961,0
Gujarat,FY2020-21,2.3,25.8,5.2,1.3,1.0,162830,1616100,12.0005,14.2955,1
Gujarat,FY2021-22,0.6,22.0,6.0,1.8,-1.2,20169,1920900,9.9119,14.4683,0
Gujarat,FY2022-23,0.9,21.4,6.8,2.0,-1.1,37059,2203400,10.5203,14.6055,0
Gujarat,FY2023-24,1.2,20.6,6.7,2.9,-1.7,60600,2425804,11.0121,14.7017,0
Tamil Nadu,FY2019-20,3.5,24.7,6.3,1.4,2.1,7230,1743100,8.886,14.3712,0
Tamil Nadu,FY2020-21,5.3,31.0,6.4,1.9,3.4,17208,1788100,9.7531,14.3967,1
Tamil Nadu,FY2021-22,3.7,30.1,6.2,1.8,1.9,22396,2072500,10.0166,14.5443,0
Tamil Nadu,FY2022-23,3.6,29.5,6.6,2.0,1.6,17247,2393400,9.7554,14.6882,0
Tamil Nadu,FY2023-24,3.6,29.9,6.6,1.8,1.8,20157,2688963,9.9113,14.8047,0
Haryana,FY2019-20,4.2,29.7,5.9,1.9,2.3,5198,738100,8.556,13.5118,0
Haryana,FY2020-21,3.5,33.5,5.9,1.0,2.5,12559,729100,9.4382,13.4996,1
Haryana,FY2021-22,2.8,30.7,6.2,1.3,1.5,20971,868900,9.9509,13.675,0
Haryana,FY2022-23,3.3,30.8,6.6,1.5,1.8,20735,984100,9.9396,13.7995,0
Haryana,FY2023-24,2.9,30.5,6.8,1.8,1.1,15797,1085510,9.6676,13.8976,0
Telangana,FY2019-20,3.4,25.0,7.2,2.7,0.7,4865,950100,8.4898,13.7643,0
Telangana,FY2020-21,5.0,29.9,7.2,2.9,2.1,8618,943100,9.0616,13.7569,1
Telangana,FY2021-22,3.8,28.3,8.2,3.4,0.4,11964,1124100,9.3897,13.9325,0
Telangana,FY2022-23,2.5,27.0,8.2,3.0,-0.5,10319,1311800,9.2417,14.0869,0
Telangana,FY2023-24,3.4,27.3,7.7,3.5,-0.1,25094,1461836,10.1304,14.1952,0
Jharkhand,FY2019-20,2.6,30.4,5.4,3.2,-0.6,13208,310300,9.4886,12.6453,0
Jharkhand,FY2020-21,4.5,36.2,5.7,4.0,0.5,5993,296700,8.6983,12.6005,1
Jharkhand,FY2021-22,0.0,29.1,5.7,2.5,-2.5,48,376100,3.8712,12.8376,0
Jharkhand,FY2022-23,1.1,27.6,6.1,4.4,-3.3,44,417400,3.7842,12.9418,0
Jharkhand,FY2023-24,1.4,26.5,6.0,3.8,-2.4,90,465638,4.4998,13.0512,0
Rajasthan,FY2019-20,3.8,35.8,6.0,0.1,3.7,1347,1000000,7.2056,13.8155,0
Rajasthan,FY2020-21,5.4,40.2,6.0,1.5,3.9,2015,1017900,7.6084,13.8333,1
Rajasthan,FY2021-22,3.5,38.2,6.3,1.9,1.6,5277,1195000,8.5711,13.9937,0
Rajasthan,FY2022-23,3.7,35.9,6.3,1.4,2.3,7218,1357900,8.8843,14.1214,0
Rajasthan,FY2023-24,4.4,37.9,6.4,1.8,2.6,2195,1521510,7.6939,14.2352,0
West Bengal,FY2019-20,3.2,37.1,5.2,1.5,1.7,1363,1179100,7.2174,13.9803,0
West Bengal,FY2020-21,3.5,42.5,5.3,1.3,2.2,3115,1141800,8.044,13.9481,1
West Bengal,FY2021-22,3.3,39.4,5.3,1.4,1.9,3195,1329200,8.0693,14.1001,0
West Bengal,FY2022-23,3.3,38.2,5.6,1.5,1.8,3217,1531800,8.0762,14.242,0
West Bengal,FY2023-24,3.3,38.3,5.4,1.7,1.6,1501,1651374,7.3139,14.3171,0
Uttar Pradesh,FY2019-20,-0.7,29.6,7.2,3.3,-4.0,NA,1700100,NA,14.3462,0
Uttar Pradesh,FY2020-21,3.0,34.0,7.3,3.2,-0.2,NA,1644900,NA,14.3132,1
Uttar Pradesh,FY2021-22,1.6,31.1,7.7,3.8,-2.2,1619,1975600,7.3896,14.4964,0
Uttar Pradesh,FY2022-23,2.9,29.5,7.9,4.6,-1.7,3373,2258000,8.1236,14.63,0
Uttar Pradesh,FY2023-24,3.2,29.7,7.6,4.6,-1.4,2762,2642877,7.9237,14.7874,0
