estimator,covid,controls,dep,dropped_state,n,debt_coef,t,debt_p_bootstrap
FE,keep COVID year,no controls,log_fdi,none,48,0.353291287127374,3.569528203817917,0.03601800900450225
FE,keep COVID year,no controls,log_fdi,Gujarat,43,0.40003822872602773,3.6666765909098564,0.07153576788394198
FE,keep COVID year,no controls,log_fdi,Haryana,43,0.3246786641371157,3.534560556035062,0.03751875937968985
FE,keep COVID year,no controls,log_fdi,Jharkhand,43,0.18203878426120138,2.500063336476666,0.0815407703851926
FE,keep COVID year,no controls,log_fdi,Karnataka,43,0.34880417337488046,3.1612992586197155,0.07253626813406704
FE,keep COVID year,no controls,log_fdi,Maharashtra,43,0.35490262502147435,3.601953891103319,0.017508754377188594
FE,keep COVID year,no controls,log_fdi,Rajasthan,43,0.33936325532852823,3.9663916358766187,0.03301650825412707
FE,keep COVID year,no controls,log_fdi,Tamil Nadu,43,0.4172927200888513,3.8895311530964034,0.048024012006003
FE,keep COVID year,no controls,log_fdi,Telangana,43,0.3374624754434264,3.864878304664462,0.030515257628814407
FE,keep COVID year,no controls,log_fdi,Uttar Pradesh,45,0.36619401091349074,3.683435198555605,0.02451225612806403
FE,keep COVID year,no controls,log_fdi,West Bengal,43,0.3535136683353456,3.430418989985853,0.03401700850425213
FE,keep COVID year,no controls,ihs_fdi,none,48,0.3532894109802583,3.5695333132612412,0.029514757378689346
FE,keep COVID year,no controls,ihs_fdi,Gujarat,43,0.4000354900554796,3.666683679384329,0.07453726863431716
FE,keep COVID year,no controls,ihs_fdi,Haryana,43,0.3246775687081768,3.5345734004114604,0.032016008004002
FE,keep COVID year,no controls,ihs_fdi,Jharkhand,43,0.18203733556436769,2.5000623578917787,0.07703851925962982
FE,keep COVID year,no controls,ihs_fdi,Karnataka,43,0.34880180988812715,3.1612996129125817,0.07703851925962982
FE,keep COVID year,no controls,ihs_fdi,Maharashtra,43,0.3549012938760415,3.601965220199945,0.01150575287643822
FE,keep COVID year,no controls,ihs_fdi,Rajasthan,43,0.33936186726384115,3.9664352836494,0.032016008004002
FE,keep COVID year,no controls,ihs_fdi,Tamil Nadu,43,0.41728930642871886,3.8894862485661283,0.04352176088044022
FE,keep COVID year,no controls,ihs_fdi,Telangana,43,0.3374613731850551,3.864895366297848,0.029514757378689346
FE,keep COVID year,no controls,ihs_fdi,Uttar Pradesh,45,0.3661929796858521,3.683464479706221,0.02451225612806403
FE,keep COVID year,no controls,ihs_fdi,West Bengal,43,0.35351210950879525,3.4304324371747836,0.03401700850425213
FE,drop COVID year,no controls,log_fdi,none,39,0.3237069824895534,1.9332868898004454,0.15657828914457228
FE,drop COVID year,no controls,log_fdi,Gujarat,35,0.3858071726499696,2.3610987155360856,0.135567783891946
FE,drop COVID year,no controls,log_fdi,Haryana,35,0.2911773612920948,1.8806455221080602,0.17858929464732365
FE,drop COVID year,no controls,log_fdi,Jharkhand,35,0.12837977475163115,1.503761430656372,0.2191095547773887
FE,drop COVID year,no controls,log_fdi,Karnataka,35,0.3155876033104474,1.7635853638933001,0.2786393196598299
FE,drop COVID year,no controls,log_fdi,Maharashtra,35,0.32421319508055035,1.9150042265611307,0.15457728864432216
FE,drop COVID year,no controls,log_fdi,Rajasthan,35,0.32766760033083214,2.3340460870456687,0.12156078039019509
FE,drop COVID year,no controls,log_fdi,Tamil Nadu,35,0.4162719755129471,1.8269125594263205,0.18659329664832416
FE,drop COVID year,no controls,log_fdi,Telangana,35,0.34978719498521904,1.8549312190466736,0.18959479739869936
FE,drop COVID year,no controls,log_fdi,Uttar Pradesh,36,0.32681618177846317,2.0437939176178395,0.13156578289144572
FE,drop COVID year,no controls,log_fdi,West Bengal,35,0.3253968476861239,1.7736611576313883,0.18109054527263632
FE,drop COVID year,no controls,ihs_fdi,none,39,0.3237035503394685,1.9333058370423226,0.14357178589294647
FE,drop COVID year,no controls,ihs_fdi,Gujarat,35,0.3858023274552378,2.3611224844069794,0.144072036018009
FE,drop COVID year,no controls,ihs_fdi,Haryana,35,0.29117489500680643,1.8806666609807638,0.15407703851925963
