,FE + Driscoll-Kraay,FE + Driscoll-Kraay,FE + Driscoll-Kraay,FE + Driscoll-Kraay,Pooled OLS + controls,Pooled OLS + controls,Pooled OLS + controls,Pooled OLS + controls
,coef,std_err,t,p,coef,std_err,t,p
Intercept,-2.6202,0.9754,-2.6864,0.0112,3.6472,4.5738,0.7974,0.4299
fd,0.566,0.0994,5.6926,0,0.5665,0.5011,1.1304,0.265
debt,0.3533,0.0422,8.3728,0,-0.176,0.062,-2.8388,0.0071
otr,0.1068,0.26,0.4108,0.6838,0.3251,0.2893,1.1237,0.2678
capex,-0.173,0.3021,-0.5725,0.5709,-0.3659,0.1316,-2.7796,0.0083
covid,-1.4059,0.2373,-5.9246,0,0.5467,0.3829,1.4281,0.161
literacy,,,,,0.1006,0.0461,2.1804,0.0352
urban,,,,,0.0047,0.041,0.1146,0.9093
