,FE + Driscoll-Kraay,FE + Driscoll-Kraay,FE + Driscoll-Kraay,FE + Driscoll-Kraay,Pooled OLS + controls,Pooled OLS + controls,Pooled OLS + controls,Pooled OLS + controls
,coef,std_err,t,p,coef,std_err,t,p
Intercept,-37.9337,21.148,-1.7937,0.0815,5.3667,11.9457,0.4493,0.6556
fd,-2.1719,0.9663,-2.2477,0.031,-1.4353,1.4861,-0.9658,0.3397
debt,1.0967,0.4771,2.2984,0.0276,0.2579,0.2196,1.1744,0.2468
otr,4.083,2.4238,1.6845,0.101,1.6267,0.878,1.8528,0.0709
capex,-0.356,1.2357,-0.2881,0.775,-0.3226,0.9018,-0.3578,0.7223
covid,-13.7826,3.1731,-4.3436,0.0001,-12.6624,1.5744,-8.0427,0.0
literacy,,,,,-0.172,0.1911,-0.9004,0.373
urban,,,,,0.1994,0.1355,1.471,0.1487
